Ore Analysis Report
Source,E:/multi_source_info/lidar/pcd_data/20260309_banyan_detong_63/banyan_Detong_1_63_347.png
ID,Points,AvgThickness(mm),MinThickness(mm),MaxThickness(mm),StdThickness(mm),Volume(cm3)
ore_0,4192,39.0048,9.63214,53.3971,9.48986,208.937
ore_1,3242,30.9099,2.13767,48.0096,9.41833,128.053
ore_2,3986,38.377,2.16359,48.4485,8.48656,195.472
ore_3,2439,35.1362,2.11053,58.0513,11.0429,109.508
ore_4,3724,35.0035,2.08291,47.8399,8.77543,166.571
ore_5,2275,18.3338,2.10063,26.1434,6.17038,53.2979
ore_6,1668,20.736,2.11496,34.0312,7.55789,44.1975
ore_7,2576,22.5145,2.08414,37.7197,7.92992,74.1114
ore_8,4164,32.3421,2.13148,41.2057,8.29507,172.09
ore_9,1789,25.3765,2.16179,42.8512,8.82374,58.0122
ore_10,2537,26.8323,2.14656,40.239,8.7256,86.9871
ore_11,3312,22.8942,2.09432,45.2218,10.799,96.8932
ore_12,2478,24.6366,2.09114,35.3659,7.64601,78.0114
ore_13,848,14.9276,2.08285,23.7637,5.60562,16.1757
ore_14,2890,24.0908,2.37866,29.2496,4.66513,88.9663
ore_15,2340,26.8155,2.17295,38.16,7.49919,80.1824
ore_16,1845,29.9987,14.5827,35.1191,4.21104,70.7253
ore_17,2221,26.8363,2.10687,40.8218,9.55533,76.1636
ore_18,2036,24.8136,2.1803,36.7545,9.14041,64.5571
ore_19,3340,25.1787,2.10282,32.814,7.60174,107.462
ore_20,1289,22.4437,2.10512,30.7105,6.13205,36.9679
ore_21,2296,25.6148,2.10532,41.8908,8.72139,75.152
ore_22,1349,27.4043,2.42296,40.3583,8.95385,47.2397
ore_23,2321,22.9059,2.0838,36.6899,7.86911,67.936
ore_24,1486,14.6729,2.08869,18.9539,3.26044,27.862
ore_25,1313,15.3435,2.23456,25.1955,4.93622,25.7434
ore_26,2787,35.7226,2.10122,47.138,10.8162,127.221
ore_27,1837,25.3636,2.15556,34.926,6.13639,59.5383
ore_28,3706,21.2419,2.09377,32.9089,7.01644,100.595
ore_29,2004,31.0363,2.16127,48.0178,10.9215,79.4775
ore_30,2753,33.5582,2.10092,53.1489,11.816,118.054
ore_31,1381,19.8121,2.18521,33.2181,7.73324,34.9623
ore_32,1941,29.8097,2.11304,37.373,6.98301,73.9367
ore_33,2237,22.3944,2.12114,41.2945,10.333,64.0152
ore_34,1003,23.6586,2.08386,35.7835,8.23738,30.3226
ore_35,2878,21.938,2.14328,34.6663,6.22907,80.6797
ore_36,3485,35.091,2.44802,52.4162,9.686,156.27
ore_37,2602,39.2802,2.50953,52.5048,8.05277,130.604
ore_38,2975,22.5012,2.08867,34.1131,6.64025,85.5402
ore_39,2695,18.8037,2.09572,28.5282,5.54754,64.7558
ore_40,1570,24.5928,2.16879,37.8537,7.82196,49.3384
ore_41,2071,27.7873,2.0916,38.933,9.67387,73.5364
ore_42,2556,30.6289,2.09678,58.9995,13.2243,100.039
ore_43,3035,36.3657,3.00918,51.7949,9.30481,141.035
ore_44,3504,22.5843,2.13178,27.093,2.62549,101.122
ore_45,1783,26.96,2.13227,37.781,8.99581,61.4254
ore_46,1926,14.4918,2.09468,24.3356,4.96164,35.6661
ore_47,3165,26.97,2.08112,41.5079,9.15038,109.076
ore_48,1946,21.8901,2.09676,33.675,6.58506,54.4338
ore_49,4094,24.9771,2.29351,32.9965,6.43108,130.667
ore_50,1765,27.9443,2.16516,30.406,4.07474,63.0253
ore_51,2227,24.8906,2.36253,35.7654,7.53662,70.8326
ore_52,1474,30.4921,2.32959,41.1092,9.37127,57.4331
ore_53,3644,26.7409,2.09749,39.204,7.55778,124.518
ore_54,3117,30.7541,2.09421,50.1971,11.943,122.495
ore_55,951,13.5398,2.09927,19.3777,4.02003,16.4539
ore_56,448,14.3356,2.10033,21.9164,4.93449,8.20672
ore_57,2225,20.1471,2.10809,29.498,6.06958,57.2821
ore_58,3027,35.9785,2.3067,50.7841,10.4674,139.166
ore_59,664,15.5486,2.20802,22.2325,4.51641,13.1928
ore_60,611,10.4222,2.13363,17.9604,4.43683,8.13722
ore_61,3294,33.7845,2.08759,55.6244,11.6212,142.206
ore_62,909,11.8633,2.21398,16.9181,3.4703,13.78
