Ore Analysis Report
Source,E:/multi_source_info/lidar/pcd_data/20260309_banyan_detong_63/banyan_Detong_1_63_347.png
ID,Points,AvgThickness(mm),MinThickness(mm),MaxThickness(mm),StdThickness(mm),Volume(cm3)
ore_0,4053,39.3884,3.38334,53.3971,9.36371,203.996
ore_1,3163,31.2088,2.13767,48.0096,9.28169,126.14
ore_2,3780,38.9594,2.16359,48.4485,8.06971,188.183
ore_3,2248,36.3425,7.32919,58.0513,10.4211,104.397
ore_4,3278,36.6976,2.44146,47.8399,7.10869,153.718
ore_5,1987,18.9945,2.10474,26.1434,5.99068,48.2283
ore_6,1435,19.595,2.11496,32.837,7.00865,35.9315
ore_7,2502,22.8204,2.11332,37.7197,7.78388,72.9605
ore_8,3986,33.2422,2.13148,41.2057,7.09353,169.318
ore_9,1675,26.0727,2.17653,42.8512,8.5129,55.8055
ore_10,2353,27.7949,2.20688,40.239,8.06977,83.5727
ore_11,2991,24.4269,2.09432,45.2218,10.1481,93.3601
ore_12,2229,25.9869,2.12957,35.3659,6.67907,74.0187
ore_13,693,14.7417,2.08285,23.6869,5.64604,13.0544
ore_14,2882,24.0951,2.37866,29.2496,4.67376,88.736
ore_15,2284,26.9905,2.17295,38.16,7.47697,78.7742
ore_16,1756,30.505,17.3907,35.1191,3.60318,68.4499
ore_17,2036,28.0201,2.15271,40.8218,8.77211,72.8994
ore_18,1708,25.9911,2.1803,36.7545,8.53996,56.727
ore_19,3014,26.2408,2.10282,32.814,6.90176,101.064
ore_20,1117,23.4019,2.10512,30.7105,5.73265,33.4027
ore_21,2232,25.8718,2.10532,41.8908,8.69985,73.7901
ore_22,1315,27.7044,2.42296,40.3583,8.8485,46.5534
ore_23,2179,23.8177,2.0838,36.6899,7.17968,66.3183
ore_24,1328,15.2518,2.15054,18.9539,2.70929,25.8818
ore_25,1160,16.295,2.40784,25.1955,4.24571,24.154
ore_26,2492,36.3364,2.27168,47.138,10.6782,115.709
ore_27,1584,25.9677,2.19408,34.926,5.88592,52.5613
ore_28,3619,21.5536,2.09377,32.9089,6.74741,99.6746
ore_29,2005,31.0501,2.16127,48.0178,10.9193,79.5526
ore_30,2576,35.186,2.11364,53.1489,10.4009,115.822
ore_31,1196,20.6442,2.42688,33.2181,7.41807,31.5505
ore_32,1735,31.1153,2.91091,37.373,5.50671,68.9843
ore_33,1923,24.6551,2.13625,41.2945,9.08749,60.5846
ore_34,950,24.3378,2.15329,35.7835,7.94192,29.5449
ore_35,2869,21.931,2.14328,34.6663,6.25681,80.4017
ore_36,3347,35.6849,3.18926,52.4162,8.86592,152.622
ore_37,2561,39.4468,2.50953,52.5048,7.97248,129.092
ore_38,2826,23.042,2.31266,34.1131,6.25705,83.2086
ore_39,2462,19.0891,2.12009,28.5282,5.11581,60.0553
ore_40,1354,26.154,2.26885,37.8537,6.38889,45.2515
ore_41,1845,27.7824,2.13393,38.7971,9.19119,65.5004
ore_42,2507,30.8665,2.09678,58.9995,13.2002,98.8823
ore_43,2988,36.6693,3.00918,51.7949,9.00398,140.01
ore_44,3474,22.594,2.13178,27.093,2.64783,100.3
ore_45,1662,28.24,2.7959,37.781,7.60484,59.9753
ore_46,1784,15.0802,2.09468,24.3356,4.59689,34.3778
ore_47,2963,27.4011,2.09104,41.5079,9.18631,103.747
ore_48,1761,22.1449,2.17731,33.675,6.64081,49.8321
ore_49,3965,25.4117,2.57346,32.9965,6.02323,128.752
ore_50,1676,28.127,2.25009,30.406,3.73156,60.2385
ore_51,2136,25.6224,4.40493,35.7654,6.71571,69.9356
ore_52,1396,31.212,8.13457,41.1092,8.67017,55.6781
ore_53,3371,27.7498,2.19043,39.204,6.47633,119.535
ore_54,2994,31.458,2.09421,50.1971,11.5706,120.354
ore_55,819,14.4787,2.09927,19.3777,3.45204,15.1527
ore_56,406,14.5393,2.10033,21.9164,4.92314,7.54307
ore_57,2164,20.0743,2.10809,29.4521,6.06612,55.5106
ore_58,2949,36.6848,2.54155,50.7841,9.60657,138.241
ore_59,640,15.9453,2.2457,22.2325,4.06032,13.0403
ore_60,553,11.0763,2.17713,17.9604,4.13251,7.827
ore_61,3216,34.33,2.08759,55.6244,11.1758,141.08
ore_62,777,12.4484,2.24848,16.9181,3.20819,12.3598
